,Ravenclaw,Slytherin,Gryffindor,Hufflepuff,mean,std
Ancient Runes,1.1589686460848259,-0.668169404597006,0.7978235532251554,-1.3452206751136035,495.05169613919816,105.21863363246736
Astronomy,-0.844018895867264,-0.6584388756642826,0.2195299500016955,1.290323159605747,44.20697720085449,515.9904862895847
Charms,0.9861451332308673,-0.6727895210332142,-0.248083834372514,-0.12593544259652598,-243.3744090125,8.783639876017117
Defense Against the Dark Arts,0.6832854674637149,0.8311007655713681,-0.20511466282610016,-1.329287995852335,-0.43051713595829477,5.1709329123480945
Divination,0.3424504761292492,-1.4143520775862708,0.46239013681126695,0.5803031812147794,3.189743125,4.110573840621554
Flying,-0.10589494154801386,-0.4558974721171754,0.9928049193862051,-0.6124036047082757,21.9580125,97.63160206806158
Herbology,0.592619572558648,-0.8343410690508803,-1.0161167648625655,1.3405013252343125,1.1890343765320566,5.176131775295526
History of Magic,-0.03053619415744895,0.09369845197976472,-0.6880058401465842,0.7813196823605113,3.001124914941041,4.371857835295093
Muggle Studies,1.2550148986282437,-0.4859456163009162,-0.024779377509896134,-0.8626930106128575,-228.84622940124981,481.8345204498501
Potions,-0.19113450412762925,0.5721331729702002,0.0566924923187517,-0.44612807701840895,5.948956699449707,3.118201682685052
Transfiguration,0.09803105941340227,0.2626433818349125,-0.9471459674064513,0.7045026481954801,1030.4244099475845,43.7100418903771
bias,-2.207363544300711,-3.1634614024517544,-2.9381681830443647,-1.898326101419497,,
